,normalized-losses,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price
3,164,0,0,0,0,0,0,99.8,176.6,66.2,54.3,2337,0,1,109,0,3.19,3.4,10.0,102,5500,24,30,13950
4,164,0,0,0,0,2,0,99.4,176.6,66.4,54.3,2824,0,2,136,0,3.19,3.4,8.0,115,5500,18,22,17450
6,158,0,0,0,0,0,0,105.8,192.7,71.4,55.7,2844,0,2,136,0,3.19,3.4,8.5,110,5500,19,25,17710
8,158,0,1,0,0,0,0,105.8,192.7,71.4,55.9,3086,0,2,131,0,3.13,3.4,8.3,140,5500,17,20,23875
10,192,0,0,1,0,1,0,101.2,176.8,64.8,54.3,2395,0,1,108,0,3.5,2.8,8.8,101,5800,23,29,16430
11,192,0,0,0,0,1,0,101.2,176.8,64.8,54.3,2395,0,1,108,0,3.5,2.8,8.8,101,5800,23,29,16925
12,188,0,0,1,0,1,0,101.2,176.8,64.8,54.3,2710,0,3,164,0,3.31,3.19,9.0,121,4250,21,28,20970
13,188,0,0,0,0,1,0,101.2,176.8,64.8,54.3,2765,0,3,164,0,3.31,3.19,9.0,121,4250,21,28,21105
18,121,0,0,1,1,0,0,88.4,141.1,60.3,53.2,1488,3,0,61,1,2.91,3.03,9.5,48,5100,47,53,5151
19,98,0,0,1,1,0,0,94.5,155.9,63.6,52.0,1874,0,1,90,1,3.03,3.11,9.6,70,5400,38,43,6295
20,81,0,0,0,0,0,0,94.5,158.8,63.6,52.0,1909,0,1,90,1,3.03,3.11,9.6,70,5400,38,43,6575
21,118,0,0,1,1,0,0,93.7,157.3,63.8,50.8,1876,0,1,90,1,2.97,3.23,9.41,68,5500,37,41,5572
22,118,0,0,1,1,0,0,93.7,157.3,63.8,50.8,1876,0,1,90,1,2.97,3.23,9.4,68,5500,31,38,6377
23,118,0,1,1,1,0,0,93.7,157.3,63.8,50.8,2128,0,1,98,0,3.03,3.39,7.6,102,5500,24,30,7957
24,148,0,0,0,1,0,0,93.7,157.3,63.8,50.6,1967,0,1,90,1,2.97,3.23,9.4,68,5500,31,38,6229
25,148,0,0,0,0,0,0,93.7,157.3,63.8,50.6,1989,0,1,90,1,2.97,3.23,9.4,68,5500,31,38,6692
26,148,0,0,0,0,0,0,93.7,157.3,63.8,50.6,1989,0,1,90,1,2.97,3.23,9.4,68,5500,31,38,7609
28,110,0,0,0,2,0,0,103.3,174.6,64.6,59.8,2535,0,1,122,1,3.34,3.46,8.5,88,5000,24,30,8921
29,145,0,1,1,1,0,0,95.9,173.2,66.3,50.2,2811,0,1,156,5,3.6,3.9,7.0,145,5000,19,24,12964
30,137,0,0,1,1,0,0,86.6,144.6,63.9,50.8,1713,0,1,92,3,2.91,3.41,9.6,58,4800,49,54,6479
31,137,0,0,1,1,0,0,86.6,144.6,63.9,50.8,1819,0,1,92,3,2.91,3.41,9.2,76,6000,31,38,6855
32,101,0,0,1,1,0,0,93.7,150.0,64.0,52.6,1837,0,1,79,3,2.91,3.07,10.1,60,5500,38,42,5399
33,101,0,0,1,1,0,0,93.7,150.0,64.0,52.6,1940,0,1,92,3,2.91,3.41,9.2,76,6000,30,34,6529
34,101,0,0,1,1,0,0,93.7,150.0,64.0,52.6,1956,0,1,92,3,2.91,3.41,9.2,76,6000,30,34,7129
35,110,0,0,0,0,0,0,96.5,163.4,64.0,54.5,2010,0,1,92,3,2.91,3.41,9.2,76,6000,30,34,7295
36,78,0,0,0,2,0,0,96.5,157.1,63.9,58.3,2024,0,1,92,3,2.92,3.41,9.2,76,6000,30,34,7295
37,106,0,0,1,1,0,0,96.5,167.5,65.2,53.3,2236,0,1,110,3,3.15,3.58,9.0,86,5800,27,33,7895
38,106,0,0,1,1,0,0,96.5,167.5,65.2,53.3,2289,0,1,110,3,3.15,3.58,9.0,86,5800,27,33,9095
39,85,0,0,0,0,0,0,96.5,175.4,65.2,54.1,2304,0,1,110,3,3.15,3.58,9.0,86,5800,27,33,8845
40,85,0,0,0,0,0,0,96.5,175.4,62.5,54.1,2372,0,1,110,3,3.15,3.58,9.0,86,5800,27,33,10295
41,85,0,0,0,0,0,0,96.5,175.4,65.2,54.1,2465,0,1,110,0,3.15,3.58,9.0,101,5800,24,28,12945
42,107,0,0,1,0,0,0,96.5,169.1,66.0,51.0,2293,0,1,110,1,3.15,3.58,9.1,100,5500,25,31,10345
47,145,0,0,0,0,1,0,113.0,199.6,69.6,52.8,4066,2,3,258,0,3.63,4.17,8.1,176,4750,15,19,32250
50,104,0,0,1,1,0,0,93.1,159.1,64.2,54.1,1890,0,1,91,1,3.03,3.15,9.0,68,5000,30,31,5195
51,104,0,0,1,1,0,0,93.1,159.1,64.2,54.1,1900,0,1,91,1,3.03,3.15,9.0,68,5000,31,38,6095
52,104,0,0,1,1,0,0,93.1,159.1,64.2,54.1,1905,0,1,91,1,3.03,3.15,9.0,68,5000,31,38,6795
53,113,0,0,0,0,0,0,93.1,166.8,64.2,54.1,1945,0,1,91,1,3.03,3.15,9.0,68,5000,31,38,6695
54,113,0,0,0,0,0,0,93.1,166.8,64.2,54.1,1950,0,1,91,1,3.08,3.15,9.0,68,5000,31,38,7395
59,129,0,0,1,1,0,0,98.8,177.8,66.5,53.7,2385,0,1,122,1,3.39,3.39,8.6,84,4800,26,32,8845
60,115,0,0,0,0,0,0,98.8,177.8,66.5,55.5,2410,0,1,122,1,3.39,3.39,8.6,84,4800,26,32,8495
61,129,0,0,1,1,0,0,98.8,177.8,66.5,53.7,2385,0,1,122,1,3.39,3.39,8.6,84,4800,26,32,10595
62,115,0,0,0,0,0,0,98.8,177.8,66.5,55.5,2410,0,1,122,1,3.39,3.39,8.6,84,4800,26,32,10245
64,115,0,0,0,1,0,0,98.8,177.8,66.5,55.5,2425,0,1,122,1,3.39,3.39,8.6,84,4800,26,32,11245
65,118,0,0,0,0,1,0,104.9,175.0,66.1,54.4,2670,0,1,140,0,3.76,3.16,8.0,120,5000,19,27,18280
67,93,1,1,0,0,1,0,110.0,190.9,70.3,56.5,3515,0,2,183,2,3.58,3.64,21.5,123,4350,22,25,25552
68,93,1,1,0,2,1,0,110.0,190.9,70.3,58.7,3750,0,2,183,2,3.58,3.64,21.5,123,4350,22,25,28248
69,93,1,1,1,3,1,0,106.7,187.5,70.3,54.9,3495,0,2,183,2,3.58,3.64,21.5,123,4350,22,25,28176
70,93,1,1,0,0,1,0,115.6,202.6,71.7,56.3,3770,0,2,183,2,3.58,3.64,21.5,123,4350,22,25,31600
72,142,0,0,1,4,1,0,96.6,180.3,70.5,50.8,3685,4,4,234,0,3.46,3.1,8.3,155,4750,16,18,35056
76,161,0,0,1,1,0,0,93.7,157.3,64.4,50.8,1918,0,1,92,1,2.97,3.23,9.4,68,5500,37,41,5389
77,161,0,0,1,1,0,0,93.7,157.3,64.4,50.8,1944,0,1,92,1,2.97,3.23,9.4,68,5500,31,38,6189
78,161,0,0,1,1,0,0,93.7,157.3,64.4,50.8,2004,0,1,92,1,2.97,3.23,9.4,68,5500,31,38,6669
79,161,0,1,1,1,0,0,93.0,157.3,63.8,50.8,2145,0,1,98,4,3.03,3.39,7.6,102,5500,24,30,7689
80,153,0,1,1,1,0,0,96.3,173.0,65.4,49.4,2370,0,1,110,4,3.17,3.46,7.5,116,5500,23,30,9959
81,153,0,0,1,1,0,0,96.3,173.0,65.4,49.4,2328,0,1,122,1,3.35,3.46,8.5,88,5000,25,32,8499
85,125,0,0,0,0,0,0,96.3,172.4,65.4,51.6,2365,0,1,122,1,3.35,3.46,8.5,88,5000,25,32,6989
86,125,0,0,0,0,0,0,96.3,172.4,65.4,51.6,2405,0,1,122,1,3.35,3.46,8.5,88,5000,25,32,8189
87,125,0,1,0,0,0,0,96.3,172.4,65.4,51.6,2403,0,1,110,4,3.17,3.46,7.5,116,5500,23,30,9279
88,137,0,0,0,0,0,0,96.3,172.4,65.4,51.6,2403,0,1,110,4,3.17,3.46,7.5,116,5500,23,30,9279
89,128,0,0,1,0,0,0,94.5,165.3,63.8,54.5,1889,0,1,97,1,3.15,3.29,9.4,69,5200,31,37,5499
90,128,1,0,1,0,0,0,94.5,165.3,63.8,54.5,2017,0,1,103,2,2.99,3.47,21.9,55,4800,45,50,7099
91,128,0,0,1,0,0,0,94.5,165.3,63.8,54.5,1918,0,1,97,1,3.15,3.29,9.4,69,5200,31,37,6649
92,122,0,0,0,0,0,0,94.5,165.3,63.8,54.5,1938,0,1,97,1,3.15,3.29,9.4,69,5200,31,37,6849
93,103,0,0,0,2,0,0,94.5,170.2,63.8,53.5,2024,0,1,97,1,3.15,3.29,9.4,69,5200,31,37,7349
94,128,0,0,1,0,0,0,94.5,165.3,63.8,54.5,1951,0,1,97,1,3.15,3.29,9.4,69,5200,31,37,7299
95,128,0,0,1,1,0,0,94.5,165.6,63.8,53.3,2028,0,1,97,1,3.15,3.29,9.4,69,5200,31,37,7799
96,122,0,0,0,0,0,0,94.5,165.3,63.8,54.5,1971,0,1,97,1,3.15,3.29,9.4,69,5200,31,37,7499
97,103,0,0,0,2,0,0,94.5,170.2,63.8,53.5,2037,0,1,97,1,3.15,3.29,9.4,69,5200,31,37,7999
98,168,0,0,1,3,0,0,95.1,162.4,63.8,53.3,2008,0,1,97,1,3.15,3.29,9.4,69,5200,31,37,8249
99,106,0,0,0,1,0,0,97.2,173.4,65.2,54.7,2324,0,1,120,1,3.33,3.47,8.5,97,5200,27,34,8949
100,106,0,0,0,0,0,0,97.2,173.4,65.2,54.7,2302,0,1,120,1,3.33,3.47,8.5,97,5200,27,34,9549
101,128,0,0,0,0,0,0,100.4,181.7,66.5,55.1,3095,4,3,181,0,3.43,3.27,9.0,152,5200,17,22,13499
102,108,0,0,0,2,0,0,100.4,184.6,66.5,56.1,3296,4,3,181,0,3.43,3.27,9.0,152,5200,17,22,14399
103,108,0,0,0,0,0,0,100.4,184.6,66.5,55.1,3060,4,3,181,0,3.43,3.27,9.0,152,5200,19,25,13499
104,194,0,0,1,1,1,0,91.3,170.7,67.9,49.7,3071,4,3,181,0,3.43,3.27,9.0,160,5200,19,25,17199
105,194,0,1,1,1,1,0,91.3,170.7,67.9,49.7,3139,4,3,181,0,3.43,3.27,7.8,200,5200,17,23,19699
106,231,0,0,1,1,1,0,99.2,178.5,67.9,49.7,3139,4,3,181,0,3.43,3.27,9.0,160,5200,19,25,18399
107,161,0,0,0,0,1,0,107.9,186.7,68.4,56.7,3020,3,1,120,0,3.46,3.19,8.4,97,5000,19,24,11900
108,161,1,1,0,0,1,0,107.9,186.7,68.4,56.7,3197,3,1,152,2,3.7,3.52,21.0,95,4150,28,33,13200
111,161,0,0,0,0,1,0,107.9,186.7,68.4,56.7,3075,3,1,120,0,3.46,2.19,8.4,95,5000,19,24,15580
112,161,1,1,0,0,1,0,107.9,186.7,68.4,56.7,3252,3,1,152,2,3.7,3.52,21.0,95,4150,28,33,16900
115,161,0,0,0,0,1,0,107.9,186.7,68.4,56.7,3075,3,1,120,0,3.46,3.19,8.4,97,5000,19,24,16630
116,161,1,1,0,0,1,0,107.9,186.7,68.4,56.7,3252,3,1,152,2,3.7,3.52,21.0,95,4150,28,33,17950
117,161,0,1,0,0,1,0,108.0,186.7,68.3,56.0,3130,3,1,134,0,3.61,3.21,7.0,142,5600,18,24,18150
118,119,0,0,1,1,0,0,93.7,157.3,63.8,50.8,1918,0,1,90,1,2.97,3.23,9.4,68,5500,37,41,5572
119,119,0,1,1,1,0,0,93.7,157.3,63.8,50.8,2128,0,1,98,4,3.03,3.39,7.6,102,5500,24,30,7957
120,154,0,0,0,1,0,0,93.7,157.3,63.8,50.6,1967,0,1,90,1,2.97,3.23,9.4,68,5500,31,38,6229
121,154,0,0,0,0,0,0,93.7,167.3,63.8,50.8,1989,0,1,90,1,2.97,3.23,9.4,68,5500,31,38,6692
122,154,0,0,0,0,0,0,93.7,167.3,63.8,50.8,2191,0,1,98,1,2.97,3.23,9.4,68,5500,31,38,7609
123,74,0,0,0,2,0,0,103.3,174.6,64.6,59.8,2535,0,1,122,1,3.35,3.46,8.5,88,5000,24,30,8921
125,186,0,0,1,1,1,0,94.5,168.9,68.3,50.2,2778,0,1,151,0,3.94,3.11,9.5,143,5500,19,27,22018
132,150,0,0,1,1,0,0,99.1,186.6,66.5,56.1,2658,0,1,121,0,3.54,3.07,9.31,110,5250,21,28,11850
133,104,0,0,0,0,0,0,99.1,186.6,66.5,56.1,2695,0,1,121,0,3.54,3.07,9.3,110,5250,21,28,12170
134,150,0,0,1,1,0,0,99.1,186.6,66.5,56.1,2707,0,1,121,0,2.54,2.07,9.3,110,5250,21,28,15040
135,104,0,0,0,0,0,0,99.1,186.6,66.5,56.1,2758,0,1,121,0,3.54,3.07,9.3,110,5250,21,28,15510
136,150,0,1,1,1,0,0,99.1,186.6,66.5,56.1,2808,2,1,121,0,3.54,3.07,9.0,160,5500,19,26,18150
137,104,0,1,0,0,0,0,99.1,186.6,66.5,56.1,2847,2,1,121,0,3.54,3.07,9.0,160,5500,19,26,18620
138,83,0,0,1,1,0,0,93.7,156.9,63.4,53.7,2050,1,1,97,1,3.62,2.36,9.0,69,4900,31,36,5118
139,83,0,0,1,1,0,0,93.7,157.9,63.6,53.7,2120,1,1,108,1,3.62,2.64,8.7,73,4400,26,31,7053
140,83,0,0,1,1,2,0,93.3,157.3,63.8,55.7,2240,1,1,108,1,3.62,2.64,8.7,73,4400,26,31,7603
141,102,0,0,0,0,0,0,97.2,172.0,65.4,52.5,2145,1,1,108,1,3.62,2.64,9.5,82,4800,32,37,7126
142,102,0,0,0,0,0,0,97.2,172.0,65.4,52.5,2190,1,1,108,1,3.62,2.64,9.5,82,4400,28,33,7775
143,102,0,0,0,0,0,0,97.2,172.0,65.4,52.5,2340,1,1,108,0,3.62,2.64,9.0,94,5200,26,32,9960
144,102,0,0,0,0,2,0,97.0,172.0,65.4,54.3,2385,1,1,108,1,3.62,2.64,9.0,82,4800,24,25,9233
145,102,0,1,0,0,2,0,97.0,172.0,65.4,54.3,2510,1,1,108,0,3.62,2.64,7.7,111,4800,24,29,11259
146,89,0,0,0,2,0,0,97.0,173.5,65.4,53.0,2290,1,1,108,1,3.62,2.64,9.0,82,4800,28,32,7463
147,89,0,0,0,2,0,0,97.0,173.5,65.4,53.0,2455,1,1,108,0,3.62,2.64,9.0,94,5200,25,31,10198
148,85,0,0,0,2,2,0,96.9,173.6,65.4,54.9,2420,1,1,108,1,3.62,2.64,9.0,82,4800,23,29,8013
149,85,0,1,0,2,2,0,96.9,173.6,65.4,54.9,2650,1,1,108,0,3.62,2.64,7.7,111,4800,23,23,11694
150,87,0,0,1,1,0,0,95.7,158.7,63.6,54.5,1985,0,1,92,1,3.05,3.03,9.0,62,4800,35,39,5348
151,87,0,0,1,1,0,0,95.7,158.7,63.6,54.5,2040,0,1,92,1,3.05,3.03,9.0,62,4800,31,38,6338
152,74,0,0,0,1,0,0,95.7,158.7,63.6,54.5,2015,0,1,92,1,3.05,3.03,9.0,62,4800,31,38,6488
153,77,0,0,0,2,0,0,95.7,169.7,63.6,59.1,2280,0,1,92,1,3.05,3.03,9.0,62,4800,31,37,6918
154,81,0,0,0,2,2,0,95.7,169.7,63.6,59.1,2290,0,1,92,1,3.05,3.03,9.0,62,4800,27,32,7898
155,91,0,0,0,2,2,0,95.7,169.7,63.6,59.1,3110,0,1,92,1,3.05,3.03,9.0,62,4800,27,32,8778
156,91,0,0,0,0,0,0,95.7,166.3,64.4,53.0,2081,0,1,98,1,3.19,3.03,9.0,70,4800,30,37,6938
157,91,0,0,0,1,0,0,95.7,166.3,64.4,52.8,2109,0,1,98,1,3.19,3.03,9.0,70,4800,30,37,7198
158,91,1,0,0,0,0,0,95.7,166.3,64.4,53.0,2275,0,1,110,2,3.27,3.35,22.5,56,4500,34,36,7898
159,91,1,0,0,1,0,0,95.7,166.3,64.4,52.8,2275,0,1,110,2,3.27,3.35,22.5,56,4500,38,47,7788
160,91,0,0,0,0,0,0,95.7,166.3,64.4,53.0,2094,0,1,98,1,3.19,3.03,9.0,70,4800,38,47,7738
161,91,0,0,0,1,0,0,95.7,166.3,64.4,52.8,2122,0,1,98,1,3.19,3.03,9.0,70,4800,28,34,8358
162,91,0,0,0,0,0,0,95.7,166.3,64.4,52.8,2140,0,1,98,1,3.19,3.03,9.0,70,4800,28,34,9258
163,168,0,0,1,0,1,0,94.5,168.7,64.0,52.6,2169,0,1,98,1,3.19,3.03,9.0,70,4800,29,34,8058
164,168,0,0,1,1,1,0,94.5,168.7,64.0,52.6,2204,0,1,98,1,3.19,3.03,9.0,70,4800,29,34,8238
165,168,0,0,1,0,1,0,94.5,168.7,64.0,52.6,2265,2,1,98,0,3.24,3.08,9.4,112,6600,26,29,9298
166,168,0,0,1,1,1,0,94.5,168.7,64.0,52.6,2300,2,1,98,0,3.24,3.08,9.4,112,6600,26,29,9538
167,134,0,0,1,3,1,0,98.4,176.2,65.6,52.0,2540,0,1,146,0,3.62,3.5,9.3,116,4800,24,30,8449
168,134,0,0,1,3,1,0,98.4,176.2,65.6,52.0,2536,0,1,146,0,3.62,3.5,9.3,116,4800,24,30,9639
169,134,0,0,1,1,1,0,98.4,176.2,65.6,52.0,2551,0,1,146,0,3.62,3.5,9.3,116,4800,24,30,9989
170,134,0,0,1,3,1,0,98.4,176.2,65.6,52.0,2679,0,1,146,0,3.62,3.5,9.3,116,4800,24,30,11199
171,134,0,0,1,1,1,0,98.4,176.2,65.6,52.0,2714,0,1,146,0,3.62,3.5,9.3,116,4800,24,30,11549
172,134,0,0,1,4,1,0,98.4,176.2,65.6,53.0,2975,0,1,146,0,3.62,3.5,9.3,116,4800,24,30,17669
173,65,0,0,0,0,0,0,102.4,175.6,66.5,54.9,2326,0,1,122,0,3.31,3.54,8.7,92,4200,29,34,8948
174,65,1,1,0,0,0,0,102.4,175.6,66.5,54.9,2480,0,1,110,2,3.27,3.35,22.5,73,4500,30,33,10698
175,65,0,0,0,1,0,0,102.4,175.6,66.5,53.9,2414,0,1,122,0,3.31,3.54,8.7,92,4200,27,32,9988
176,65,0,0,0,0,0,0,102.4,175.6,66.5,54.9,2414,0,1,122,0,3.31,3.54,8.7,92,4200,27,32,10898
177,65,0,0,0,1,0,0,102.4,175.6,66.5,53.9,2458,0,1,122,0,3.31,3.54,8.7,92,4200,27,32,11248
178,197,0,0,1,1,1,0,102.9,183.5,67.7,52.0,2976,2,3,171,0,3.27,3.35,9.3,161,5200,20,24,16558
179,197,0,0,1,1,1,0,102.9,183.5,67.7,52.0,3016,2,3,171,0,3.27,3.35,9.3,161,5200,19,24,15998
180,90,0,0,0,0,1,0,104.5,187.8,66.5,54.1,3131,2,3,171,0,3.27,3.35,9.2,156,5200,20,24,15690
182,122,1,0,1,0,0,0,97.3,171.7,65.5,55.7,2261,0,1,97,2,3.01,3.4,23.0,52,4800,37,46,7775
183,122,0,0,1,0,0,0,97.3,171.7,65.5,55.7,2209,0,1,109,0,3.19,3.4,9.0,85,5250,27,34,7975
184,94,1,0,0,0,0,0,97.3,171.7,65.5,55.7,2264,0,1,97,2,3.01,3.4,23.0,52,4800,37,46,7995
185,94,0,0,0,0,0,0,97.3,171.7,65.5,55.7,2212,0,1,109,0,3.19,3.4,9.0,85,5250,27,34,8195
186,94,0,0,0,0,0,0,97.3,171.7,65.5,55.7,2275,0,1,109,0,3.19,3.4,9.0,85,5250,27,34,8495
187,94,1,1,0,0,0,0,97.3,171.7,65.5,55.7,2319,0,1,97,2,3.01,3.4,23.0,68,4500,37,42,9495
188,94,0,0,0,0,0,0,97.3,171.7,65.5,55.7,2300,0,1,109,0,3.19,3.4,10.0,100,5500,26,32,9995
190,256,0,0,1,1,0,0,94.5,165.7,64.0,51.4,2221,0,1,109,0,3.19,3.4,8.5,90,5500,24,29,9980
194,103,0,0,0,0,1,0,104.3,188.8,67.2,56.2,2912,0,1,141,0,3.78,3.15,9.5,114,5400,23,28,12940
195,74,0,0,0,2,1,0,104.3,188.8,67.2,57.5,3034,0,1,141,0,3.78,3.15,9.5,114,5400,23,28,13415
196,103,0,0,0,0,1,0,104.3,188.8,67.2,56.2,2935,0,1,141,0,3.78,3.15,9.5,114,5400,24,28,15985
197,74,0,0,0,2,1,0,104.3,188.8,67.2,57.5,3042,0,1,141,0,3.78,3.15,9.5,114,5400,24,28,16515
198,103,0,1,0,0,1,0,104.3,188.8,67.2,56.2,3045,0,1,130,0,3.62,3.15,7.5,162,5100,17,22,18420
199,74,0,1,0,2,1,0,104.3,188.8,67.2,57.5,3157,0,1,130,0,3.62,3.15,7.5,162,5100,17,22,18950
200,95,0,0,0,0,1,0,109.1,188.8,68.9,55.5,2952,0,1,141,0,3.78,3.15,9.5,114,5400,23,28,16845
201,95,0,1,0,0,1,0,109.1,188.8,68.8,55.5,3049,0,1,141,0,3.78,3.15,8.7,160,5300,19,25,19045
202,95,0,0,0,0,1,0,109.1,188.8,68.9,55.5,3012,4,3,173,0,3.58,2.87,8.8,134,5500,18,23,21485
203,95,1,1,0,0,1,0,109.1,188.8,68.9,55.5,3217,0,3,145,2,3.01,3.4,23.0,106,4800,26,27,22470
204,95,0,1,0,0,1,0,109.1,188.8,68.9,55.5,3062,0,1,141,0,3.78,3.15,9.5,114,5400,19,25,22625
